customer_id,age,gender,tenure_months,monthly_spend,num_support_tickets,payment_delay_days,last_login_days_ago,num_products_purchased,satisfaction_score,contract_type,uses_mobile_app,churned
CUST-0082,49,Non-Binary,57,269.6,3,17,70,5,4.7,Annual,1,0
CUST-0083,58,Non-Binary,31,252.78,4,35,1,18,2.6,Month-to-Month,0,1
CUST-0084,25,Non-Binary,20,181.96,11,18,65,23,2.1,Annual,1,1
CUST-0085,53,Male,50,78.85,9,32,17,3,2.1,Annual,1,0
CUST-0086,50,Female,1,109.75,4,37,74,22,3.0,Month-to-Month,1,1
CUST-0087,40,Female,71,270.56,6,29,41,7,4.9,Month-to-Month,1,0
CUST-0088,67,Female,6,121.59,7,45,48,13,5.0,Two-Year,0,0
CUST-0089,20,Male,65,338.39,5,6,56,4,3.1,Annual,0,0
CUST-0090,44,Non-Binary,20,40.07,12,16,43,20,3.8,Two-Year,0,0
CUST-0091,72,Non-Binary,69,142.3,5,40,62,18,1.1,Month-to-Month,0,1
CUST-0092,36,Male,12,160.38,1,40,90,4,2.8,Two-Year,1,0
CUST-0093,20,Female,8,113.28,5,27,18,8,3.1,Two-Year,0,1
CUST-0094,23,Non-Binary,49,222.6,3,31,74,5,1.9,Two-Year,1,1
CUST-0095,60,Male,60,316.91,10,34,20,3,2.8,Annual,1,0
CUST-0096,45,Non-Binary,33,168.04,4,12,49,16,1.4,Annual,1,1
CUST-0097,62,Female,3,342.61,10,25,35,1,3.3,Two-Year,0,0
CUST-0098,65,Female,37,274.87,3,38,45,8,3.5,Two-Year,1,0
CUST-0099,64,Non-Binary,18,225.46,10,41,5,10,4.2,Month-to-Month,1,0
CUST-0100,23,Female,42,265.41,2,12,16,18,4.5,Annual,1,0
CUST-0101,34,Female,38,265.1,5,7,59,3,1.6,Month-to-Month,1,0
CUST-0102,69,Non-Binary,47,45.25,6,0,33,18,1.5,Annual,1,1
CUST-0103,70,Non-Binary,48,51.3,3,30,3,20,4.5,Two-Year,1,0
CUST-0104,32,Non-Binary,9,227.86,7,44,38,21,2.6,Month-to-Month,0,0
CUST-0105,37,Female,15,47.56,8,8,49,15,2.5,Two-Year,1,0
CUST-0106,64,Male,54,234.4,7,39,52,9,1.1,Annual,0,1
CUST-0107,33,Female,13,343.61,5,34,82,12,1.2,Annual,0,0
CUST-0108,72,Female,12,237.03,10,40,76,1,1.2,Annual,0,0
CUST-0109,68,Non-Binary,27,37.98,12,35,26,19,1.9,Month-to-Month,1,1
CUST-0110,68,Non-Binary,1,107.89,2,8,69,9,4.2,Month-to-Month,0,1
CUST-0111,40,Male,42,20.29,4,3,16,24,2.7,Month-to-Month,0,1
CUST-0112,67,Female,66,213.88,7,32,28,20,1.2,Two-Year,1,1
CUST-0113,19,Male,62,298.85,6,43,13,16,3.8,Annual,0,0
CUST-0114,38,Non-Binary,19,37.0,4,39,81,19,3.2,Annual,1,0
CUST-0115,51,Female,59,184.36,6,6,89,4,4.4,Two-Year,0,0
CUST-0116,32,Female,44,292.19,6,26,12,11,2.7,Two-Year,1,1
CUST-0117,27,Non-Binary,61,37.49,1,5,55,4,4.0,Annual,0,0
CUST-0118,55,Non-Binary,72,125.43,1,26,45,22,4.8,Annual,0,0
CUST-0119,56,Female,46,49.71,8,13,19,22,2.9,Month-to-Month,1,0
CUST-0120,41,Male,36,207.32,12,27,71,25,4.3,Two-Year,0,0
CUST-0121,60,Non-Binary,35,24.7,4,44,39,11,2.4,Month-to-Month,0,1
CUST-0122,43,Male,19,263.22,0,5,67,7,2.5,Annual,1,1
CUST-0123,37,Non-Binary,42,275.24,9,38,10,2,1.6,Two-Year,0,1
CUST-0124,35,Female,55,177.7,7,26,34,7,4.0,Month-to-Month,1,0
CUST-0125,36,Non-Binary,63,191.52,4,2,28,13,4.9,Month-to-Month,0,0
CUST-0126,31,Male,33,111.96,1,0,63,24,2.7,Month-to-Month,1,0
CUST-0127,32,Non-Binary,72,294.17,12,22,9,13,4.4,Month-to-Month,1,1
CUST-0128,22,Female,55,207.09,11,40,53,10,1.5,Month-to-Month,1,1
CUST-0129,57,Female,47,44.52,1,15,55,19,2.6,Month-to-Month,1,0
CUST-0130,65,Female,29,126.58,2,4,65,21,1.5,Two-Year,0,0
CUST-0131,40,Female,19,94.15,2,16,25,6,3.4,Two-Year,0,1
CUST-0132,67,Non-Binary,64,170.42,9,37,57,22,4.7,Two-Year,1,0
CUST-0133,58,Female,20,162.32,7,28,80,10,4.2,Two-Year,0,0
CUST-0134,22,Female,60,166.39,0,23,36,3,3.6,Month-to-Month,1,0
CUST-0135,53,Non-Binary,6,165.66,12,36,83,7,2.3,Annual,0,0
CUST-0136,46,Male,44,344.1,1,32,82,6,1.2,Two-Year,1,0
CUST-0137,51,Non-Binary,21,136.91,4,24,52,25,2.4,Two-Year,0,0
CUST-0138,59,Female,9,125.45,8,43,49,10,2.0,Two-Year,0,1
CUST-0139,55,Non-Binary,19,322.11,4,41,89,22,2.6,Two-Year,0,1
CUST-0140,42,Non-Binary,43,287.42,10,44,87,17,1.4,Two-Year,1,1
CUST-0141,19,Female,40,75.39,3,21,62,7,1.9,Month-to-Month,0,1
CUST-0142,72,Male,65,273.24,11,33,4,22,2.3,Two-Year,0,1
CUST-0143,27,Male,24,293.5,12,39,21,24,2.8,Annual,1,0
CUST-0144,33,Female,37,267.05,12,28,29,18,2.0,Annual,0,1
CUST-0145,54,Female,60,272.76,12,24,64,17,2.7,Month-to-Month,0,0
CUST-0146,26,Female,7,229.79,5,35,13,23,4.4,Month-to-Month,1,1
CUST-0147,28,Female,58,318.28,2,27,11,8,4.3,Annual,0,0
CUST-0148,43,Non-Binary,48,93.99,1,23,28,1,2.3,Month-to-Month,1,0
CUST-0149,26,Male,37,322.33,7,44,17,25,3.8,Annual,0,0
CUST-0150,19,Female,28,294.71,8,38,67,14,1.4,Annual,0,1
CUST-0151,21,Male,54,229.05,9,29,8,4,4.3,Annual,0,0
CUST-0152,54,Male,19,112.58,0,39,45,8,3.3,Month-to-Month,0,0
CUST-0153,41,Male,68,197.27,12,32,70,1,2.6,Annual,0,1
CUST-0154,41,Female,3,134.63,1,22,30,24,3.6,Month-to-Month,1,1
CUST-0155,40,Non-Binary,44,287.53,2,43,59,23,2.9,Month-to-Month,0,1
CUST-0156,67,Female,5,113.3,0,12,5,11,4.7,Two-Year,1,0
CUST-0157,52,Female,33,27.27,10,12,36,12,4.4,Month-to-Month,1,0
CUST-0158,69,Female,56,312.98,11,28,49,11,4.9,Annual,1,0
CUST-0159,69,Non-Binary,35,283.38,11,27,10,14,3.4,Month-to-Month,1,1
CUST-0160,23,Female,38,117.68,9,45,54,6,3.8,Annual,1,1
CUST-0161,40,Non-Binary,56,106.98,12,3,9,22,3.6,Annual,0,0
CUST-0162,27,Non-Binary,57,26.66,1,15,82,12,2.4,Two-Year,0,0
CUST-0163,61,Female,48,139.62,12,4,73,5,3.1,Annual,1,0
CUST-0164,33,Male,4,261.45,7,33,49,18,1.5,Annual,1,1
CUST-0165,57,Female,63,82.06,2,4,57,6,4.6,Annual,0,0
CUST-0166,72,Female,45,252.7,8,34,37,10,4.4,Two-Year,0,0
CUST-0167,50,Male,16,345.02,12,8,30,16,1.1,Two-Year,1,1
CUST-0168,53,Male,12,37.03,6,45,61,17,2.6,Annual,0,1
CUST-0169,38,Non-Binary,10,165.74,10,33,44,5,4.5,Two-Year,0,0
CUST-0170,26,Female,65,320.09,0,7,66,5,2.2,Month-to-Month,1,0
CUST-0171,32,Female,67,314.8,1,16,25,21,4.8,Annual,0,0
CUST-0172,57,Non-Binary,12,183.36,2,37,74,5,1.7,Two-Year,1,0
CUST-0173,54,Male,4,42.21,10,36,33,21,1.8,Two-Year,1,1
CUST-0174,19,Female,70,112.04,4,30,31,22,2.6,Annual,0,0
CUST-0175,28,Female,54,177.22,3,21,77,5,2.3,Two-Year,1,0
CUST-0176,40,Female,17,269.82,8,35,13,11,2.0,Month-to-Month,1,1
CUST-0177,27,Male,7,112.22,6,39,53,8,4.9,Month-to-Month,1,0
CUST-0178,64,Female,25,270.65,7,32,59,16,4.5,Annual,0,1
CUST-0179,43,Non-Binary,59,338.84,3,37,45,2,1.2,Annual,1,1
CUST-0180,18,Male,56,59.87,4,23,51,12,1.2,Month-to-Month,0,1
CUST-0181,36,Male,50,183.93,12,35,35,20,3.7,Month-to-Month,0,0
CUST-0182,43,Female,44,201.87,5,9,25,20,3.0,Two-Year,0,1
CUST-0183,26,Non-Binary,43,284.33,8,29,19,20,4.6,Month-to-Month,1,0
CUST-0184,38,Male,51,346.86,11,19,75,11,3.0,Two-Year,1,0
CUST-0185,37,Female,3,138.4,10,7,53,19,2.2,Two-Year,0,1
CUST-0186,34,Non-Binary,30,256.67,9,30,21,17,3.5,Two-Year,1,1
CUST-0187,61,Male,5,206.81,11,7,24,1,2.8,Annual,0,1
CUST-0188,31,Female,65,274.62,7,3,90,5,3.1,Two-Year,1,0
CUST-0189,48,Non-Binary,49,120.11,2,29,68,11,3.2,Two-Year,1,0
CUST-0190,30,Male,36,201.96,3,19,36,23,1.8,Two-Year,1,1
CUST-0191,40,Non-Binary,36,111.41,9,43,69,13,4.6,Annual,1,0
CUST-0192,69,Male,38,29.09,11,5,44,15,3.6,Two-Year,1,1
CUST-0193,70,Non-Binary,35,327.56,11,17,17,4,3.5,Two-Year,0,1
CUST-0194,60,Non-Binary,29,228.71,0,6,52,11,3.9,Month-to-Month,0,1
CUST-0195,53,Male,53,233.72,7,30,83,7,4.0,Annual,1,0
CUST-0196,21,Male,30,194.28,11,2,22,14,4.5,Month-to-Month,0,0
CUST-0197,43,Female,24,328.76,4,2,1,10,3.3,Month-to-Month,1,0
CUST-0198,59,Non-Binary,68,180.46,2,32,59,9,1.8,Month-to-Month,1,1
CUST-0199,47,Non-Binary,33,255.73,0,21,37,19,3.7,Month-to-Month,0,0
CUST-0200,58,Female,55,187.62,1,25,85,4,1.7,Month-to-Month,1,1
CUST-0201,33,Male,34,143.5,7,17,42,10,3.3,Two-Year,0,1
CUST-0202,41,Non-Binary,31,35.81,1,29,39,6,2.6,Two-Year,1,0
CUST-0203,58,Female,48,220.9,3,8,61,5,2.8,Two-Year,1,0
CUST-0204,53,Female,69,283.67,3,15,87,25,3.4,Month-to-Month,1,0
CUST-0205,41,Male,15,35.69,8,32,25,19,3.1,Month-to-Month,1,0
CUST-0206,46,Male,27,255.17,7,5,65,15,4.2,Annual,0,0
CUST-0207,47,Non-Binary,8,202.2,10,19,2,13,2.0,Month-to-Month,0,1
CUST-0208,20,Female,45,249.63,8,3,8,16,1.1,Annual,0,1
CUST-0209,67,Non-Binary,54,140.44,6,28,48,13,1.3,Two-Year,0,1
CUST-0210,40,Male,23,347.6,6,33,16,24,4.9,Month-to-Month,0,0
CUST-0211,47,Non-Binary,70,157.08,6,14,31,15,2.4,Annual,0,0
CUST-0212,64,Male,5,286.18,6,39,2,8,1.8,Month-to-Month,0,1
CUST-0213,61,Non-Binary,7,96.99,0,25,56,8,3.2,Month-to-Month,0,1
CUST-0214,36,Male,41,208.45,12,43,41,8,2.2,Month-to-Month,0,1
CUST-0215,35,Male,72,332.75,11,11,80,22,2.7,Annual,0,0
CUST-0216,59,Non-Binary,49,278.24,5,44,53,14,1.6,Annual,0,1
CUST-0217,48,Male,29,115.75,11,9,59,2,3.2,Annual,0,1
CUST-0218,34,Male,43,231.65,7,23,11,18,3.9,Month-to-Month,0,1
CUST-0219,61,Non-Binary,6,307.66,3,37,85,18,1.9,Month-to-Month,1,1
CUST-0220,18,Male,25,337.3,1,30,31,23,3.4,Month-to-Month,1,0
CUST-0221,53,Female,37,142.52,8,41,45,10,2.0,Two-Year,1,1
CUST-0222,69,Non-Binary,61,270.15,5,13,47,11,2.7,Two-Year,0,0
CUST-0223,19,Female,71,328.14,9,26,37,5,1.8,Month-to-Month,1,1
CUST-0224,33,Female,71,234.29,10,21,32,25,4.3,Two-Year,1,0
CUST-0225,64,Female,22,61.89,8,31,23,18,5.0,Month-to-Month,0,0
CUST-0226,22,Non-Binary,7,271.05,6,8,80,8,1.3,Month-to-Month,0,1
CUST-0227,47,Female,8,221.97,10,39,61,22,3.0,Month-to-Month,1,1
CUST-0228,51,Non-Binary,36,194.47,4,1,64,23,3.7,Month-to-Month,0,0
CUST-0229,51,Male,31,79.3,8,16,45,9,4.2,Month-to-Month,1,0
CUST-0230,47,Non-Binary,32,346.73,3,19,87,3,3.6,Two-Year,0,1
CUST-0231,42,Female,71,174.46,10,0,89,6,1.3,Annual,1,1
CUST-0232,72,Male,68,322.92,3,13,88,19,2.9,Month-to-Month,0,0
CUST-0233,35,Non-Binary,5,75.08,5,1,26,19,1.6,Two-Year,1,0
CUST-0234,37,Male,31,204.84,6,43,69,11,2.5,Two-Year,0,0
CUST-0235,62,Non-Binary,11,182.77,5,3,12,14,1.9,Month-to-Month,1,1
CUST-0236,57,Non-Binary,51,339.59,5,1,81,9,4.1,Annual,1,0
CUST-0237,53,Female,56,77.22,9,42,48,3,4.1,Annual,0,0
CUST-0238,23,Female,20,142.3,12,40,19,24,2.6,Annual,0,1
CUST-0239,37,Female,47,270.05,1,8,11,6,2.7,Two-Year,1,1
CUST-0240,23,Female,71,46.18,9,20,49,1,2.2,Annual,0,0
CUST-0241,53,Male,67,71.81,6,10,17,9,2.2,Annual,0,1
CUST-0242,45,Female,54,115.42,12,4,46,9,4.8,Two-Year,1,0
CUST-0243,30,Female,14,60.39,0,25,42,20,2.5,Annual,1,1
CUST-0244,70,Non-Binary,18,115.65,9,44,25,16,2.3,Annual,1,1
CUST-0245,62,Non-Binary,63,339.2,12,15,41,13,2.1,Annual,1,1
CUST-0246,54,Male,70,75.28,12,35,3,24,2.8,Two-Year,0,1
CUST-0247,36,Non-Binary,9,289.35,12,26,86,16,1.6,Annual,0,1
CUST-0248,27,Non-Binary,55,279.34,1,28,76,16,3.3,Two-Year,1,0
CUST-0249,68,Female,69,213.93,1,6,31,22,3.7,Month-to-Month,0,0
CUST-0250,59,Non-Binary,52,338.88,5,27,13,1,1.4,Month-to-Month,0,1
CUST-0251,43,Female,65,65.5,0,30,13,10,2.7,Month-to-Month,0,0
CUST-0252,64,Male,45,119.48,7,13,66,16,2.4,Month-to-Month,1,0
CUST-0253,46,Female,9,115.59,12,45,14,1,4.4,Two-Year,0,0
CUST-0254,28,Non-Binary,32,187.86,8,10,42,18,2.7,Annual,0,0
CUST-0255,58,Male,24,229.56,6,25,3,24,3.5,Month-to-Month,1,0
CUST-0256,42,Male,28,83.94,12,45,8,19,1.4,Two-Year,0,1
CUST-0257,30,Female,15,102.89,7,33,81,11,3.4,Two-Year,1,0
CUST-0258,40,Female,59,221.82,10,45,38,20,3.4,Two-Year,0,1
CUST-0259,33,Female,15,76.32,11,9,65,13,2.7,Month-to-Month,1,1
CUST-0260,49,Non-Binary,69,247.3,10,11,71,6,3.0,Month-to-Month,0,1
CUST-0261,46,Non-Binary,7,304.95,0,31,17,7,4.3,Two-Year,1,0
CUST-0262,49,Female,57,178.71,1,36,3,25,1.9,Month-to-Month,1,1
CUST-0263,36,Male,59,204.49,12,31,70,17,1.5,Month-to-Month,1,1
CUST-0264,70,Female,70,290.57,0,28,69,7,5.0,Month-to-Month,0,0
CUST-0265,20,Female,34,131.77,1,28,15,25,4.2,Month-to-Month,1,0
CUST-0266,57,Non-Binary,55,70.6,2,13,26,2,3.3,Two-Year,1,0
CUST-0267,28,Female,38,111.93,4,32,86,4,1.5,Annual,0,0
CUST-0268,59,Male,17,98.64,11,20,31,25,4.4,Annual,1,0
CUST-0269,58,Female,54,140.68,1,40,11,13,3.1,Annual,1,0
CUST-0270,49,Female,1,306.08,11,5,58,21,3.7,Annual,0,0
CUST-0271,43,Male,55,291.32,7,17,41,10,2.4,Two-Year,0,1
CUST-0272,49,Female,7,30.39,10,29,2,4,4.7,Month-to-Month,1,0
CUST-0273,45,Male,17,310.52,4,10,35,3,3.6,Annual,0,0
CUST-0274,59,Male,7,147.77,4,44,29,14,3.6,Two-Year,0,1
CUST-0275,48,Male,17,213.88,8,43,56,1,1.0,Annual,0,0
CUST-0276,45,Non-Binary,17,175.03,3,24,11,24,4.2,Month-to-Month,1,0
CUST-0277,37,Male,49,274.11,12,8,82,22,1.6,Two-Year,0,1
CUST-0278,28,Female,45,257.01,10,9,52,20,3.7,Month-to-Month,0,0
CUST-0279,26,Male,50,132.76,6,20,17,8,2.1,Month-to-Month,0,1
CUST-0280,56,Non-Binary,37,275.95,11,1,84,10,1.8,Two-Year,0,1
CUST-0281,36,Non-Binary,7,277.57,12,15,63,13,1.5,Annual,0,1
CUST-0282,18,Female,41,59.21,9,26,46,18,3.7,Annual,0,1
CUST-0283,22,Male,34,87.27,0,25,64,10,3.5,Two-Year,1,0
CUST-0284,43,Male,69,195.11,2,17,10,10,1.3,Month-to-Month,0,1
CUST-0285,43,Non-Binary,9,118.91,6,15,7,8,1.3,Annual,0,1
CUST-0286,56,Male,40,238.14,10,11,15,1,3.8,Two-Year,0,1
CUST-0287,40,Non-Binary,67,277.3,11,16,21,12,1.5,Annual,0,1
CUST-0288,19,Female,55,106.11,1,16,73,21,1.3,Annual,1,1
CUST-0289,72,Non-Binary,22,138.18,4,6,73,22,3.9,Month-to-Month,0,1
CUST-0290,18,Male,6,173.04,6,9,22,2,3.2,Two-Year,1,1
CUST-0291,33,Female,41,105.87,1,36,47,4,3.0,Month-to-Month,0,1
CUST-0292,51,Male,52,38.09,7,18,39,11,1.3,Annual,0,1
CUST-0293,36,Non-Binary,39,262.76,3,29,47,19,4.9,Month-to-Month,0,0
CUST-0294,44,Male,30,196.42,10,44,1,11,1.0,Two-Year,1,1
CUST-0295,64,Female,14,83.74,3,26,62,2,4.9,Month-to-Month,1,0
CUST-0296,32,Non-Binary,53,249.78,5,29,10,19,1.4,Month-to-Month,1,1
CUST-0297,54,Male,56,236.92,2,15,37,9,4.4,Annual,1,0
CUST-0298,35,Male,10,331.09,2,37,13,5,1.4,Annual,1,1
CUST-0299,25,Non-Binary,46,338.15,3,28,39,15,2.1,Month-to-Month,0,1
CUST-0300,61,Female,6,87.03,5,9,11,23,2.0,Annual,1,1
CUST-0301,61,Female,34,289.73,2,1,51,15,3.2,Two-Year,0,1
CUST-0302,24,Male,16,19.01,12,14,16,7,4.3,Annual,0,0
CUST-0303,34,Male,3,349.05,3,41,56,5,1.4,Annual,0,1
CUST-0304,47,Male,22,324.58,6,25,63,1,2.5,Annual,0,1
CUST-0305,29,Female,36,164.41,2,2,78,20,3.5,Two-Year,1,0
CUST-0306,53,Female,8,44.39,6,8,53,7,3.6,Two-Year,0,0
CUST-0307,69,Non-Binary,3,346.45,12,45,45,16,3.2,Annual,1,0
CUST-0308,50,Female,50,105.6,0,20,76,8,1.1,Annual,0,1
CUST-0309,48,Non-Binary,46,271.89,3,10,12,8,3.6,Annual,0,0
CUST-0310,32,Non-Binary,50,133.86,2,11,30,19,2.3,Two-Year,1,0
CUST-0311,19,Non-Binary,46,332.43,9,9,72,7,4.3,Annual,1,0
CUST-0312,20,Male,8,92.93,3,1,67,16,1.0,Two-Year,0,1
CUST-0313,39,Non-Binary,23,322.79,5,3,2,5,3.3,Month-to-Month,0,0
CUST-0314,41,Male,48,251.02,10,25,75,4,2.3,Annual,0,0
CUST-0315,64,Female,63,232.48,2,45,71,23,4.6,Two-Year,1,0
CUST-0316,55,Male,49,117.79,11,18,16,6,3.9,Two-Year,1,0
CUST-0317,67,Non-Binary,5,76.0,5,39,28,21,3.3,Annual,0,1
CUST-0318,22,Male,45,344.1,2,40,11,23,3.7,Two-Year,1,0
CUST-0319,34,Male,32,247.21,5,16,13,24,1.0,Annual,1,1
CUST-0320,28,Female,64,310.39,5,34,48,4,4.3,Two-Year,0,0
CUST-0321,22,Male,38,21.73,4,6,9,11,1.7,Annual,0,0
CUST-0322,53,Male,44,214.0,9,30,90,1,2.7,Two-Year,0,1
CUST-0323,45,Male,7,48.92,3,12,52,23,3.2,Two-Year,1,0
CUST-0324,37,Male,13,31.63,9,35,62,5,1.2,Month-to-Month,1,1
CUST-0325,70,Non-Binary,62,81.89,0,13,21,21,2.2,Month-to-Month,1,0
CUST-0326,37,Female,61,178.85,10,16,11,21,3.2,Month-to-Month,1,0
CUST-0327,41,Male,58,29.95,7,29,33,8,4.3,Two-Year,0,0
CUST-0328,62,Non-Binary,13,43.71,5,34,52,25,3.4,Two-Year,0,0
CUST-0329,70,Non-Binary,54,338.49,10,30,73,8,2.9,Month-to-Month,1,0
CUST-0330,63,Male,65,206.36,8,36,86,20,1.6,Annual,0,0
CUST-0331,28,Male,25,57.27,6,5,87,14,1.8,Two-Year,0,0
CUST-0332,34,Female,9,44.15,8,25,70,11,4.4,Two-Year,1,0
CUST-0333,18,Non-Binary,67,276.86,1,26,19,5,3.3,Two-Year,0,0
CUST-0334,54,Male,37,305.6,5,26,33,13,3.6,Two-Year,1,1
CUST-0335,35,Female,19,222.11,10,44,51,2,2.6,Annual,0,1
